[416, 20.0, 6.34, 26.65, 1744, 9]
[410, 22.0, 6.78, 27.26, 1787, 13]
[419, 21.0, 6.53, 26.55, 1571, 5]
[420, 21.0, 6.15, 27.01, 1504, 13]
[425, 20.0, 6.43, 26.34, 1682, 11]
[429, 21.0, 6.66, 28.65, 1587, 8]
[428, 22.0, 6.14, 30.03, 1784, 14]
[410, 22.0, 6.64, 27.94, 1592, 11]
[424, 21.0, 6.31, 29.85, 1680, 14]
[420, 21.0, 6.51, 28.22, 1735, 5]
[423, 22.0, 6.1, 28.51, 1696, 12]
[416, 20.0, 6.39, 26.54, 1411, 10]
[428, 20.0, 6.09, 29.47, 1710, 7]
[429, 22.0, 6.52, 28.47, 1623, 12]
[420, 21.0, 6.24, 26.37, 1535, 5]
[413, 21.0, 6.69, 29.31, 1413, 8]
[421, 21.0, 6.09, 27.18, 1798, 6]
[422, 22.0, 6.62, 29.55, 1410, 5]
[424, 22.0, 6.75, 27.87, 1516, 5]
[410, 22.0, 6.05, 30.18, 1410, 13]
[419, 20.0, 6.3, 26.85, 1599, 11]
[412, 20.0, 6.71, 29.01, 1454, 13]
[417, 21.0, 6.72, 28.62, 1408, 14]
[429, 22.0, 6.55, 29.53, 1461, 10]
[428, 21.0, 6.7, 27.3, 1486, 5]
[417, 20.0, 6.37, 27.55, 1682, 13]
[429, 21.0, 6.24, 26.8, 1630, 5]
[427, 22.0, 6.33, 27.4, 1476, 11]
[423, 21.0, 6.49, 27.37, 1597, 14]
[428, 20.0, 6.33, 28.44, 1526, 13]
[428, 22.0, 6.25, 26.51, 1752, 11]
[416, 20.0, 6.62, 26.34, 1681, 11]
[413, 21.0, 6.21, 28.35, 1598, 10]
[411, 20.0, 6.78, 28.05, 1721, 5]
[414, 22.0, 6.15, 27.5, 1632, 13]
[422, 21.0, 6.01, 26.1, 1657, 7]
[410, 22.0, 6.47, 27.12, 1736, 8]
[414, 22.0, 6.24, 25.15, 1491, 13]
[410, 22.0, 6.76, 25.81, 1552, 11]
[400, 22.0, 6.21, 27.95, 1502, 5]
[400, 22.0, 6.58, 26.07, 1768, 2]
[400, 22.0, 6.73, 28.15, 1401, 8]
[414, 22.0, 6.74, 26.58, 1760, 0]
[426, 21.0, 6.18, 25.91, 1506, 6]
[417, 21.0, 6.3, 28.11, 1762, 1]
[-1, 22.0, 6.15, 25.81, 1514, -1]
[-1, 24.0, 6.97, 26.23, 299, -1]
[-1, 25.0, 6.3, 27.4, 254, -1]
[496, 24.0, 6.28, 27.5, 254, 19]
[415, 24.0, 6.31, 27.5, 256, 2]
[437, 23.0, 6.29, 27.5, 249, 7]
[405, 23.0, 6.29, 27.5, 306, 0]
[400, 22.0, 6.28, 27.6, 256, 1]
[422, 22.0, 6.3, 27.6, 246, 5]
[407, 22.0, 6.32, 27.65, 239, 0]
[436, 22.0, 6.31, 27.55, 234, 3]
[442, 21.0, 6.34, 27.6, 258, 17]
[439, 21.0, 6.35, 27.6, 239, 14]
[432, 21.0, 6.34, 27.55, 247, 10]
[445, 20.0, 6.36, 27.6, 242, 19]
[-1, 27.0, 6.44, 27.7, 260, -1]
[-1, 24.0, 6.43, 27.4, 269, -1]
[475, 23.0, 6.47, 27.45, 239, 34]
[532, 22.0, 6.5, 27.5, 240, 65]
[580, 21.0, 6.46, 27.5, 240, 95]
[625, 21.0, 6.49, 27.5, 232, 121]
[590, 22.0, 6.61, 27.55, 238, 127]
[682, 20.0, 3.48, 27.5, 241, 152]
[683, 20.0, 3.5, 27.5, 253, 182]
[719, 19.0, 5.83, 27.5, 249, 202]
[744, 18.0, 6.32, 27.45, 251, 220]
[769, 18.0, 6.24, 27.5, 242, 224]
[819, 18.0, 6.16, 27.55, 246, 244]
[801, 18.0, 6.16, 27.5, 266, 241]
[776, 18.0, 5.85, 27.5, 255, 241]
[776, 18.0, 5.85, 27.45, 251, 241]
[790, 18.0, 5.89, 27.45, 255, 243]
[806, 17.0, 5.95, 27.45, 27, 251]
[824, 18.0, 5.98, 27.45, 261, 258]
[809, 19.0, 5.99, 27.5, 245, 250]
[-1, 18.0, 5.96, 27.5, 240, -1]
[411, 18.0, 5.92, 27.5, 250, 5]
[-1, 17.0, 6.0, 27.5, 365, -1]
[456, 16.0, 5.93, 27.55, 0, 31]
[621, 18.0, 5.66, 27.5, 0, 43]
[426, 17.0, 5.78, 27.5, 252, 18]
[440, 17.0, 5.8, 27.5, 464, 18]
[460, 7.0, 5.86, 27.6, 265, 20]
[400, 4.0, 5.96, 27.6, 353, 3]
[-1, 30.0, 6.0, 27.65, 214, -1]
[416, 28.0, 5.99, 27.65, 199, 4]
[419, 0.0, 6.0, 27.6, 209, 4]
