[414.0, 22.0, 6.15, 27.5, 1632.0, 13],
[422.0, 21.0, 6.01, 26.1, 1657.0, 7],
[410.0, 22.0, 6.47, 27.12, 1736.0, 8],
[414.0, 22.0, 6.24, 25.15, 1491.0, 13],
[410.0, 22.0, 6.76, 25.81, 1552.0, 11],
[400.0, 22.0, 6.21, 27.95, 1502.0, 5],
[400.0, 22.0, 6.58, 26.07, 1768.0, 2],
[400.0, 22.0, 6.73, 28.15, 1401.0, 8],
[414.0, 22.0, 6.74, 26.58, 1760.0, 0],
[426.0, 21.0, 6.18, 25.91, 1506.0, 6],
[417.0, 21.0, 6.3, 28.11, 1762.0, 1],
[-1.0, 22.0, 6.15, 25.81, 1514.0, -1]
